title,artist,genre,year
Shadows of the Night 39,Echo Ensemble,Rock,2020
Whispers in the Wind 76,The Vibrations,Classical,2021
Shadows of the Night 71,The Harmonics,Jazz,1988
Shadows of the Night 87,The Harmonics,Rock,2011
Rhythms of the Heart 67,Echo Ensemble,Rock,1988
Rhythms of the Heart 64,Serenity Sounds,Rock,2012
Rhythms of the Heart 76,The Harmonics,Rock,2003
Echoes of Eternity 24,Serenity Sounds,Pop,1996
Rhythms of the Heart 13,Echo Ensemble,Classical,1989
Shadows of the Night 65,Echo Ensemble,Pop,1987
Echoes of Eternity 80,The Vibrations,Classical,2003
Rhythms of the Heart 50,Serenity Sounds,Rock,1988
Whispers in the Wind 44,Serenity Sounds,Pop,2020
Echoes of Eternity 60,Serenity Sounds,Classical,1987
Echoes of Eternity 62,The Harmonics,Rock,1985
Echoes of Eternity 23,Serenity Sounds,Pop,2017
Rhythms of the Heart 29,Echo Ensemble,Rock,2003
Rhythms of the Heart 93,The Vibrations,Classical,1998
Echoes of Eternity 55,The Vibrations,Rock,1981
Echoes of Eternity 21,The Vibrations,Rock,2008
Shadows of the Night 27,Serenity Sounds,Jazz,1981
Whispers in the Wind 63,The Vibrations,Pop,2014
Echoes of Eternity 71,Echo Ensemble,Pop,2021
Whispers in the Wind 6,The Harmonics,Jazz,1995
Echoes of Eternity 84,The Vibrations,Jazz,1983
Echoes of Eternity 10,The Vibrations,Pop,1987
Shadows of the Night 58,The Harmonics,Classical,2017
Echoes of Eternity 9,Echo Ensemble,Pop,1995
Whispers in the Wind 85,The Vibrations,Rock,2022
Whispers in the Wind 100,The Harmonics,Classical,1994
Echoes of Eternity 30,The Vibrations,Jazz,1997
Shadows of the Night 100,Serenity Sounds,Classical,1983
Whispers in the Wind 87,Echo Ensemble,Jazz,2004
Echoes of Eternity 64,Serenity Sounds,Pop,1995
Echoes of Eternity 50,The Vibrations,Pop,2007
Whispers in the Wind 35,Serenity Sounds,Classical,2003
Shadows of the Night 7,Echo Ensemble,Rock,2012
Whispers in the Wind 32,The Harmonics,Classical,1986
Shadows of the Night 63,Serenity Sounds,Classical,2017
Rhythms of the Heart 70,Echo Ensemble,Jazz,2004
Shadows of the Night 56,Echo Ensemble,Pop,2022
Echoes of Eternity 64,The Vibrations,Jazz,2011
Rhythms of the Heart 48,The Harmonics,Classical,2022
Rhythms of the Heart 93,Echo Ensemble,Pop,1981
Echoes of Eternity 53,The Vibrations,Jazz,1981
Echoes of Eternity 56,The Vibrations,Jazz,1996
Rhythms of the Heart 62,The Harmonics,Rock,1980
Shadows of the Night 27,The Vibrations,Rock,1988
Shadows of the Night 54,The Vibrations,Jazz,1983
Echoes of Eternity 29,The Harmonics,Classical,1983
Rhythms of the Heart 80,The Vibrations,Classical,2021
Whispers in the Wind 73,Echo Ensemble,Rock,1980
Whispers in the Wind 23,The Vibrations,Pop,2022
Shadows of the Night 21,The Harmonics,Classical,2006
Rhythms of the Heart 61,Echo Ensemble,Rock,2002
Shadows of the Night 95,The Harmonics,Rock,2014
Echoes of Eternity 88,The Harmonics,Jazz,2016
Whispers in the Wind 12,Serenity Sounds,Jazz,2012
Whispers in the Wind 56,The Vibrations,Classical,1987
Echoes of Eternity 88,Serenity Sounds,Pop,2020
Rhythms of the Heart 25,Serenity Sounds,Classical,2019
Rhythms of the Heart 100,Echo Ensemble,Pop,2008
Whispers in the Wind 73,Serenity Sounds,Rock,1997
Echoes of Eternity 52,Echo Ensemble,Jazz,1993
Rhythms of the Heart 51,The Vibrations,Classical,2020
Echoes of Eternity 21,Echo Ensemble,Jazz,2009
Rhythms of the Heart 68,Serenity Sounds,Pop,2003
Rhythms of the Heart 91,The Vibrations,Rock,2003
Whispers in the Wind 77,Serenity Sounds,Classical,1990
Echoes of Eternity 1,Serenity Sounds,Pop,1999
Echoes of Eternity 28,Echo Ensemble,Classical,2008
Shadows of the Night 2,Serenity Sounds,Pop,2008
Echoes of Eternity 25,The Vibrations,Classical,1981
Whispers in the Wind 93,The Vibrations,Jazz,2001
Rhythms of the Heart 5,The Harmonics,Jazz,2020
Rhythms of the Heart 16,The Vibrations,Pop,1993
Whispers in the Wind 66,The Harmonics,Classical,2008
Rhythms of the Heart 19,Serenity Sounds,Jazz,1990
Shadows of the Night 45,Serenity Sounds,Classical,1984
Echoes of Eternity 4,Serenity Sounds,Jazz,1989
Echoes of Eternity 33,Echo Ensemble,Pop,1982
Whispers in the Wind 64,Serenity Sounds,Classical,2008
Shadows of the Night 96,The Vibrations,Pop,1987
Echoes of Eternity 39,Serenity Sounds,Classical,1995
Rhythms of the Heart 49,The Vibrations,Classical,2018
Echoes of Eternity 38,Echo Ensemble,Pop,1995
Whispers in the Wind 24,Serenity Sounds,Classical,2005
Shadows of the Night 87,The Vibrations,Pop,2013
Whispers in the Wind 1,The Vibrations,Pop,1988
Whispers in the Wind 14,Echo Ensemble,Rock,1984
Shadows of the Night 93,Serenity Sounds,Pop,2017
Rhythms of the Heart 68,The Vibrations,Jazz,1990
Whispers in the Wind 50,The Harmonics,Pop,2008
Echoes of Eternity 41,Echo Ensemble,Jazz,1981
Shadows of the Night 1,Serenity Sounds,Rock,2006
Whispers in the Wind 69,The Vibrations,Rock,1983
Rhythms of the Heart 63,Echo Ensemble,Classical,1989
Echoes of Eternity 56,The Harmonics,Rock,1996
Echoes of Eternity 75,Echo Ensemble,Rock,2004
Whispers in the Wind 69,The Harmonics,Pop,2020
Echoes of Eternity 42,The Vibrations,Classical,1994
Whispers in the Wind 33,Serenity Sounds,Jazz,1992
Whispers in the Wind 94,Echo Ensemble,Classical,2004
Shadows of the Night 49,The Harmonics,Pop,1993
Echoes of Eternity 76,The Harmonics,Pop,2015
Rhythms of the Heart 84,The Harmonics,Classical,2021
Rhythms of the Heart 92,Serenity Sounds,Classical,1986
Echoes of Eternity 19,The Harmonics,Jazz,1985
Shadows of the Night 5,The Vibrations,Rock,1981
Whispers in the Wind 68,The Harmonics,Pop,1992
Rhythms of the Heart 76,Echo Ensemble,Pop,2008
Echoes of Eternity 18,Serenity Sounds,Pop,1992
Shadows of the Night 76,The Harmonics,Jazz,2006
Shadows of the Night 78,The Harmonics,Classical,2022
Shadows of the Night 90,Serenity Sounds,Pop,1997
Echoes of Eternity 11,The Harmonics,Pop,1991
Whispers in the Wind 29,The Vibrations,Classical,1991
Rhythms of the Heart 58,The Harmonics,Classical,2007
Shadows of the Night 46,The Vibrations,Rock,2000
Shadows of the Night 57,Echo Ensemble,Rock,2022
Whispers in the Wind 36,Echo Ensemble,Rock,1983
Rhythms of the Heart 99,Serenity Sounds,Classical,2012
Echoes of Eternity 59,The Vibrations,Classical,1991
Echoes of Eternity 31,The Vibrations,Pop,1998
Whispers in the Wind 50,The Vibrations,Rock,2009
Shadows of the Night 47,Echo Ensemble,Classical,1994
Shadows of the Night 26,Echo Ensemble,Rock,2001
Rhythms of the Heart 20,Serenity Sounds,Classical,2007
Shadows of the Night 19,The Vibrations,Jazz,1997
Rhythms of the Heart 34,The Harmonics,Pop,2021
Rhythms of the Heart 88,The Vibrations,Jazz,2010
Rhythms of the Heart 78,The Harmonics,Jazz,1999
Echoes of Eternity 6,Echo Ensemble,Classical,2003
Echoes of Eternity 30,The Harmonics,Pop,2014
Shadows of the Night 22,Serenity Sounds,Rock,1980
Echoes of Eternity 38,Serenity Sounds,Jazz,2018
Shadows of the Night 18,Serenity Sounds,Pop,2000
Echoes of Eternity 86,Echo Ensemble,Rock,2001
Shadows of the Night 25,The Harmonics,Rock,1991
Whispers in the Wind 89,The Vibrations,Rock,2010
Echoes of Eternity 5,The Harmonics,Classical,1989
Whispers in the Wind 91,The Vibrations,Rock,2016
Shadows of the Night 80,The Vibrations,Rock,1999
Shadows of the Night 66,The Harmonics,Rock,2016
Shadows of the Night 93,The Harmonics,Pop,2014
Rhythms of the Heart 35,Echo Ensemble,Rock,1997
Whispers in the Wind 1,Serenity Sounds,Rock,2005
Shadows of the Night 32,The Harmonics,Rock,2021
Shadows of the Night 48,The Vibrations,Rock,1998
Echoes of Eternity 28,The Vibrations,Rock,2021
Rhythms of the Heart 47,The Harmonics,Classical,2015
Whispers in the Wind 56,Serenity Sounds,Jazz,2006
Rhythms of the Heart 25,The Vibrations,Pop,1991
Echoes of Eternity 16,Serenity Sounds,Jazz,2010
Shadows of the Night 73,The Harmonics,Jazz,2020
Shadows of the Night 4,Echo Ensemble,Jazz,1980
Whispers in the Wind 29,Serenity Sounds,Pop,2013
Rhythms of the Heart 26,The Harmonics,Classical,1982
Rhythms of the Heart 4,Echo Ensemble,Jazz,2008
Whispers in the Wind 43,The Vibrations,Jazz,2002
Echoes of Eternity 46,Serenity Sounds,Pop,2017
Rhythms of the Heart 22,The Harmonics,Pop,2007
Whispers in the Wind 60,Echo Ensemble,Jazz,1996
Shadows of the Night 36,Serenity Sounds,Classical,1995
Shadows of the Night 55,Serenity Sounds,Classical,1986
Rhythms of the Heart 61,Serenity Sounds,Rock,1997
Shadows of the Night 81,Echo Ensemble,Jazz,1983
Echoes of Eternity 89,The Harmonics,Rock,1991
Rhythms of the Heart 66,Serenity Sounds,Rock,2011
Whispers in the Wind 74,Echo Ensemble,Jazz,1991
Shadows of the Night 41,The Vibrations,Jazz,1990
Rhythms of the Heart 26,Serenity Sounds,Pop,1986
Echoes of Eternity 30,Serenity Sounds,Pop,2012
Whispers in the Wind 3,The Vibrations,Jazz,1997
Whispers in the Wind 11,The Vibrations,Rock,1995
Whispers in the Wind 25,The Vibrations,Classical,2001
Whispers in the Wind 39,The Harmonics,Classical,2019
Whispers in the Wind 25,The Harmonics,Classical,1998
Rhythms of the Heart 81,The Harmonics,Jazz,1991
Whispers in the Wind 17,The Harmonics,Rock,2019
Whispers in the Wind 72,Serenity Sounds,Rock,1985
Rhythms of the Heart 23,The Harmonics,Pop,1981
Whispers in the Wind 63,Echo Ensemble,Pop,2004
Whispers in the Wind 21,Serenity Sounds,Pop,1985
Rhythms of the Heart 84,Serenity Sounds,Pop,2022
Echoes of Eternity 9,The Vibrations,Jazz,2018
Rhythms of the Heart 42,The Vibrations,Classical,2003
Echoes of Eternity 51,Echo Ensemble,Pop,2014
Shadows of the Night 8,Echo Ensemble,Pop,2004
Echoes of Eternity 13,Serenity Sounds,Pop,1999
Echoes of Eternity 60,The Harmonics,Rock,2018
Shadows of the Night 42,Echo Ensemble,Rock,2006
Echoes of Eternity 51,The Vibrations,Pop,2000
Shadows of the Night 38,Echo Ensemble,Jazz,2007
Whispers in the Wind 20,The Vibrations,Pop,1988
Echoes of Eternity 91,The Harmonics,Pop,2005
Shadows of the Night 3,The Vibrations,Classical,1994
Rhythms of the Heart 3,The Harmonics,Jazz,1981
Shadows of the Night 59,The Harmonics,Jazz,2015
Rhythms of the Heart 88,Echo Ensemble,Pop,2011
Whispers in the Wind 26,Echo Ensemble,Classical,2001
Echoes of Eternity 98,Echo Ensemble,Classical,1987
Whispers in the Wind 89,Serenity Sounds,Jazz,1999
Shadows of the Night 85,Echo Ensemble,Jazz,1997
Echoes of Eternity 14,The Harmonics,Pop,1992
Shadows of the Night 82,Echo Ensemble,Jazz,2012
Rhythms of the Heart 28,Serenity Sounds,Rock,2003
Echoes of Eternity 63,The Harmonics,Pop,1993
Echoes of Eternity 96,The Harmonics,Pop,1982
Whispers in the Wind 67,The Vibrations,Classical,2013
Shadows of the Night 52,The Harmonics,Pop,2015
Shadows of the Night 10,The Vibrations,Pop,2016
Rhythms of the Heart 76,Serenity Sounds,Classical,1996
Whispers in the Wind 16,Serenity Sounds,Pop,2021
Echoes of Eternity 56,Echo Ensemble,Classical,1990
Shadows of the Night 65,The Harmonics,Pop,2021
Whispers in the Wind 58,Serenity Sounds,Pop,1995
Echoes of Eternity 70,Serenity Sounds,Rock,2009
Shadows of the Night 50,The Vibrations,Pop,2007
Echoes of Eternity 12,Serenity Sounds,Rock,1999
Rhythms of the Heart 85,The Vibrations,Pop,1998
Rhythms of the Heart 7,The Vibrations,Jazz,2008
Shadows of the Night 93,The Vibrations,Jazz,2003
Whispers in the Wind 29,Echo Ensemble,Jazz,1989
Whispers in the Wind 93,The Harmonics,Jazz,2009
Rhythms of the Heart 74,Echo Ensemble,Rock,2006
Whispers in the Wind 22,Echo Ensemble,Jazz,2020
Whispers in the Wind 83,The Harmonics,Classical,1988
Whispers in the Wind 86,Echo Ensemble,Pop,1981
Rhythms of the Heart 37,The Harmonics,Rock,1985
Echoes of Eternity 11,The Vibrations,Rock,2008
Rhythms of the Heart 53,The Vibrations,Classical,1983
Echoes of Eternity 25,The Harmonics,Classical,1983
Echoes of Eternity 7,The Harmonics,Rock,1993
Whispers in the Wind 9,Serenity Sounds,Rock,1984
Whispers in the Wind 23,Echo Ensemble,Classical,2004
Whispers in the Wind 32,Serenity Sounds,Pop,1985
Whispers in the Wind 14,Serenity Sounds,Classical,1984
Rhythms of the Heart 94,Echo Ensemble,Classical,1988
Shadows of the Night 21,The Vibrations,Classical,1987
Shadows of the Night 85,The Harmonics,Classical,2004
Shadows of the Night 22,Echo Ensemble,Jazz,1988
Rhythms of the Heart 45,Serenity Sounds,Pop,2016
Shadows of the Night 11,Serenity Sounds,Classical,1998
Whispers in the Wind 63,The Harmonics,Classical,1988
Whispers in the Wind 95,The Harmonics,Pop,2002
Whispers in the Wind 96,The Harmonics,Pop,2016
Whispers in the Wind 47,The Vibrations,Classical,1986
Whispers in the Wind 38,The Vibrations,Jazz,2007
Echoes of Eternity 100,The Harmonics,Classical,1994
Whispers in the Wind 31,Echo Ensemble,Jazz,1983
Rhythms of the Heart 57,Echo Ensemble,Rock,2012
Whispers in the Wind 86,The Vibrations,Jazz,1986
Rhythms of the Heart 56,Serenity Sounds,Classical,2010
Shadows of the Night 89,The Harmonics,Pop,2014
Echoes of Eternity 2,The Harmonics,Pop,2010
Rhythms of the Heart 10,Echo Ensemble,Jazz,2009
Echoes of Eternity 59,Echo Ensemble,Pop,1985
Rhythms of the Heart 27,Serenity Sounds,Pop,1985
Shadows of the Night 20,The Vibrations,Jazz,2022
Echoes of Eternity 17,Echo Ensemble,Classical,1999
Whispers in the Wind 34,Echo Ensemble,Pop,2005
Shadows of the Night 72,The Harmonics,Pop,2006
Rhythms of the Heart 1,Serenity Sounds,Jazz,2022
Shadows of the Night 11,The Harmonics,Classical,1997
Whispers in the Wind 21,The Harmonics,Pop,1986
Whispers in the Wind 79,Echo Ensemble,Rock,1994
Echoes of Eternity 80,The Harmonics,Pop,2000
Whispers in the Wind 34,The Vibrations,Classical,2010
Shadows of the Night 7,The Harmonics,Classical,1995
Shadows of the Night 35,The Harmonics,Pop,1985
Rhythms of the Heart 86,Serenity Sounds,Classical,2007
Shadows of the Night 56,The Harmonics,Rock,2005
Whispers in the Wind 4,The Harmonics,Rock,1980
Whispers in the Wind 38,Serenity Sounds,Pop,2000
Echoes of Eternity 26,The Vibrations,Jazz,2009
Whispers in the Wind 10,Echo Ensemble,Jazz,1984
Echoes of Eternity 67,Serenity Sounds,Classical,1984
Shadows of the Night 67,The Harmonics,Pop,2009
Rhythms of the Heart 72,The Vibrations,Rock,2004
Whispers in the Wind 82,Echo Ensemble,Rock,1988
Shadows of the Night 9,Echo Ensemble,Pop,1995
Echoes of Eternity 86,The Harmonics,Rock,1997
Whispers in the Wind 79,The Vibrations,Pop,1986
Whispers in the Wind 18,The Vibrations,Jazz,2003
Whispers in the Wind 11,Serenity Sounds,Rock,2002
Rhythms of the Heart 54,The Harmonics,Pop,2020
Whispers in the Wind 51,The Vibrations,Classical,1992
Rhythms of the Heart 90,The Vibrations,Pop,2006
Echoes of Eternity 1,The Vibrations,Rock,2008
Echoes of Eternity 13,The Vibrations,Classical,2004
Echoes of Eternity 79,Echo Ensemble,Jazz,2004
Rhythms of the Heart 10,The Harmonics,Classical,2002
Rhythms of the Heart 83,Echo Ensemble,Pop,2012
Whispers in the Wind 71,Serenity Sounds,Rock,2011
Shadows of the Night 34,Echo Ensemble,Jazz,1994
Rhythms of the Heart 73,Serenity Sounds,Rock,2014
Shadows of the Night 47,The Harmonics,Pop,2003
Echoes of Eternity 69,The Vibrations,Jazz,2005
Rhythms of the Heart 54,The Vibrations,Rock,2014
Rhythms of the Heart 46,The Vibrations,Pop,1984
Echoes of Eternity 36,Serenity Sounds,Rock,1984
Rhythms of the Heart 77,Serenity Sounds,Rock,1996
Whispers in the Wind 89,Echo Ensemble,Rock,2009
Whispers in the Wind 23,Serenity Sounds,Classical,2016
Rhythms of the Heart 92,The Harmonics,Classical,2010
Rhythms of the Heart 7,The Harmonics,Classical,2002
Echoes of Eternity 29,Serenity Sounds,Pop,2017
Whispers in the Wind 39,Serenity Sounds,Classical,2000
Rhythms of the Heart 49,Serenity Sounds,Classical,2002
Shadows of the Night 59,Echo Ensemble,Jazz,1987
Echoes of Eternity 82,Serenity Sounds,Jazz,2009
Shadows of the Night 90,The Harmonics,Pop,1987
Echoes of Eternity 34,Echo Ensemble,Pop,1988
Rhythms of the Heart 7,Serenity Sounds,Jazz,2010
Shadows of the Night 30,Serenity Sounds,Rock,1986
Echoes of Eternity 13,Echo Ensemble,Pop,2021
Rhythms of the Heart 80,Serenity Sounds,Rock,1993
Rhythms of the Heart 24,Serenity Sounds,Jazz,1994
Whispers in the Wind 58,The Harmonics,Jazz,1997
Shadows of the Night 72,The Vibrations,Classical,2013
Shadows of the Night 63,The Vibrations,Jazz,1981
Rhythms of the Heart 71,The Vibrations,Rock,2020
Shadows of the Night 73,Serenity Sounds,Classical,2002
Shadows of the Night 64,The Vibrations,Jazz,1994
Rhythms of the Heart 79,Echo Ensemble,Classical,1980
Echoes of Eternity 29,Echo Ensemble,Classical,2017
Rhythms of the Heart 88,The Harmonics,Classical,1999
Whispers in the Wind 10,Serenity Sounds,Rock,1982
Shadows of the Night 51,Serenity Sounds,Pop,1985
Shadows of the Night 27,Echo Ensemble,Rock,1980
Shadows of the Night 52,Serenity Sounds,Pop,2007
Echoes of Eternity 83,Echo Ensemble,Classical,1994
Echoes of Eternity 27,Serenity Sounds,Classical,2009
Whispers in the Wind 19,Echo Ensemble,Pop,1989
Whispers in the Wind 82,The Harmonics,Rock,2004
Shadows of the Night 77,The Vibrations,Rock,2015
Shadows of the Night 6,Serenity Sounds,Pop,2008
Shadows of the Night 70,The Harmonics,Jazz,2006
Whispers in the Wind 42,The Vibrations,Jazz,1984
Echoes of Eternity 36,The Harmonics,Classical,2019
Rhythms of the Heart 57,The Harmonics,Jazz,1992
Whispers in the Wind 46,Serenity Sounds,Pop,1981
Echoes of Eternity 65,The Harmonics,Jazz,2000
Rhythms of the Heart 56,Echo Ensemble,Pop,1989
Rhythms of the Heart 84,Echo Ensemble,Pop,2016
Whispers in the Wind 13,Echo Ensemble,Rock,2007
Rhythms of the Heart 72,The Harmonics,Classical,2016
Shadows of the Night 79,Serenity Sounds,Pop,1990
Rhythms of the Heart 93,The Harmonics,Rock,1982
Whispers in the Wind 11,The Harmonics,Pop,2006
Echoes of Eternity 56,Serenity Sounds,Rock,2022
Echoes of Eternity 50,The Harmonics,Jazz,1994
Rhythms of the Heart 60,The Vibrations,Rock,2003
Whispers in the Wind 20,The Harmonics,Jazz,2022
Rhythms of the Heart 16,Serenity Sounds,Classical,1996
Shadows of the Night 10,Serenity Sounds,Jazz,2006
Rhythms of the Heart 95,The Vibrations,Jazz,1986
Whispers in the Wind 98,Echo Ensemble,Pop,2005
Rhythms of the Heart 34,Echo Ensemble,Pop,2015
Rhythms of the Heart 39,Echo Ensemble,Jazz,2019
Rhythms of the Heart 54,Serenity Sounds,Pop,2006
Shadows of the Night 53,Serenity Sounds,Jazz,1998
Rhythms of the Heart 83,The Harmonics,Jazz,2012
Whispers in the Wind 99,The Harmonics,Jazz,1990
Rhythms of the Heart 70,The Harmonics,Pop,2012
Rhythms of the Heart 45,The Vibrations,Rock,1980
Shadows of the Night 44,Echo Ensemble,Rock,1995
Shadows of the Night 100,The Harmonics,Jazz,2017
Whispers in the Wind 94,The Vibrations,Rock,2002
Shadows of the Night 79,The Harmonics,Pop,2021
Rhythms of the Heart 69,Serenity Sounds,Pop,1998
Rhythms of the Heart 82,Echo Ensemble,Classical,2003
Echoes of Eternity 54,Echo Ensemble,Jazz,1986
Whispers in the Wind 18,The Harmonics,Rock,1981
Echoes of Eternity 36,The Vibrations,Classical,2012
Rhythms of the Heart 35,The Vibrations,Classical,2005
Rhythms of the Heart 82,The Vibrations,Pop,1994
Echoes of Eternity 97,Echo Ensemble,Jazz,2000
Whispers in the Wind 41,Echo Ensemble,Classical,1982
Rhythms of the Heart 66,The Harmonics,Jazz,2005
Rhythms of the Heart 65,The Vibrations,Rock,2016
