title,artist,genre,year
Shadows of the Night 7,The Vibrations,Pop,2001
Shadows of the Night 22,The Vibrations,Rock,2011
Shadows of the Night 67,The Vibrations,Classical,1992
Whispers in the Wind 42,Serenity Sounds,Jazz,1994
Whispers in the Wind 84,Serenity Sounds,Rock,2008
Echoes of Eternity 61,The Vibrations,Pop,2017
Shadows of the Night 92,The Vibrations,Rock,2014
Rhythms of the Heart 90,Serenity Sounds,Pop,1987
Whispers in the Wind 46,Echo Ensemble,Classical,1984
Echoes of Eternity 96,The Vibrations,Pop,2014
Shadows of the Night 95,The Vibrations,Classical,1983
Rhythms of the Heart 6,The Harmonics,Pop,1990
Shadows of the Night 23,The Harmonics,Pop,2004
Whispers in the Wind 62,The Harmonics,Jazz,2010
Shadows of the Night 29,Serenity Sounds,Jazz,2015
Shadows of the Night 100,Echo Ensemble,Pop,2003
Shadows of the Night 19,Echo Ensemble,Pop,1983
Rhythms of the Heart 62,Echo Ensemble,Pop,2021
Rhythms of the Heart 51,Echo Ensemble,Rock,2007
Whispers in the Wind 86,The Harmonics,Classical,2001
Whispers in the Wind 11,Echo Ensemble,Jazz,2004
Echoes of Eternity 100,Echo Ensemble,Classical,2010
Rhythms of the Heart 60,The Harmonics,Jazz,1987
Rhythms of the Heart 10,Serenity Sounds,Pop,1999
Shadows of the Night 10,Echo Ensemble,Pop,2002
Whispers in the Wind 30,The Harmonics,Pop,1985
Whispers in the Wind 48,The Harmonics,Pop,2022
Echoes of Eternity 73,Serenity Sounds,Rock,2005
Echoes of Eternity 7,The Vibrations,Jazz,2021
Echoes of Eternity 21,Serenity Sounds,Pop,1980
Echoes of Eternity 23,Echo Ensemble,Jazz,2016
Shadows of the Night 64,Serenity Sounds,Classical,2011
Shadows of the Night 24,The Vibrations,Rock,2005
Shadows of the Night 72,Serenity Sounds,Rock,2012
Echoes of Eternity 9,The Harmonics,Rock,1999
Whispers in the Wind 45,Echo Ensemble,Jazz,2004
Shadows of the Night 37,Echo Ensemble,Pop,2006
Rhythms of the Heart 86,Echo Ensemble,Jazz,2021
Rhythms of the Heart 31,The Harmonics,Rock,2007
Whispers in the Wind 78,Serenity Sounds,Jazz,1985
Whispers in the Wind 92,The Harmonics,Classical,1981
Echoes of Eternity 8,The Harmonics,Rock,2014
Whispers in the Wind 13,The Vibrations,Pop,1997
Echoes of Eternity 57,Serenity Sounds,Jazz,2006
Whispers in the Wind 4,Serenity Sounds,Pop,1987
Rhythms of the Heart 31,Serenity Sounds,Pop,1983
Shadows of the Night 96,The Harmonics,Rock,1984
Echoes of Eternity 35,The Harmonics,Classical,2019
Echoes of Eternity 94,The Harmonics,Rock,2011
Echoes of Eternity 81,The Vibrations,Rock,1982
Echoes of Eternity 97,The Vibrations,Jazz,1989
Whispers in the Wind 63,Serenity Sounds,Classical,2021
Whispers in the Wind 52,The Vibrations,Rock,2002
Rhythms of the Heart 81,Serenity Sounds,Rock,1997
Rhythms of the Heart 33,Serenity Sounds,Classical,1986
Shadows of the Night 56,Serenity Sounds,Pop,2016
Echoes of Eternity 77,The Vibrations,Pop,1998
Whispers in the Wind 31,The Vibrations,Jazz,2009
Echoes of Eternity 45,The Harmonics,Classical,2002
Whispers in the Wind 27,The Vibrations,Pop,2012
Shadows of the Night 28,Serenity Sounds,Pop,2014
Whispers in the Wind 58,Echo Ensemble,Rock,2017
Whispers in the Wind 34,The Harmonics,Pop,1986
Shadows of the Night 20,The Harmonics,Jazz,1983
Whispers in the Wind 6,Echo Ensemble,Classical,1992
Echoes of Eternity 82,The Vibrations,Pop,1986
Whispers in the Wind 28,The Vibrations,Rock,2010
Shadows of the Night 37,The Harmonics,Classical,1999
Rhythms of the Heart 77,Echo Ensemble,Classical,1991
Whispers in the Wind 56,The Harmonics,Classical,2017
Echoes of Eternity 54,The Harmonics,Jazz,2016
Shadows of the Night 12,Echo Ensemble,Pop,2021
Whispers in the Wind 49,Echo Ensemble,Classical,1985
Whispers in the Wind 85,Echo Ensemble,Classical,1989
Rhythms of the Heart 1,Echo Ensemble,Pop,1995
Shadows of the Night 47,Serenity Sounds,Pop,2010
Echoes of Eternity 28,The Harmonics,Rock,2001
Whispers in the Wind 57,Echo Ensemble,Classical,1996
Shadows of the Night 52,Echo Ensemble,Rock,2008
Shadows of the Night 39,Serenity Sounds,Classical,1993
Rhythms of the Heart 51,Serenity Sounds,Rock,2007
Shadows of the Night 69,Serenity Sounds,Rock,1991
Echoes of Eternity 57,Echo Ensemble,Classical,2010
Echoes of Eternity 67,Echo Ensemble,Jazz,1989
Whispers in the Wind 64,The Harmonics,Pop,2012
Shadows of the Night 5,Serenity Sounds,Rock,2015
Shadows of the Night 4,Serenity Sounds,Classical,2008
Whispers in the Wind 41,Serenity Sounds,Pop,2016
Whispers in the Wind 21,Echo Ensemble,Jazz,2009
Echoes of Eternity 75,The Vibrations,Jazz,2009
Shadows of the Night 30,The Harmonics,Rock,2003
Rhythms of the Heart 62,Serenity Sounds,Pop,1981
Whispers in the Wind 93,Serenity Sounds,Classical,2008
Shadows of the Night 77,The Harmonics,Jazz,2010
Rhythms of the Heart 66,Echo Ensemble,Jazz,2020
Shadows of the Night 88,The Vibrations,Jazz,2011
Whispers in the Wind 67,Echo Ensemble,Classical,1988
Rhythms of the Heart 21,Serenity Sounds,Pop,1998
Echoes of Eternity 95,Serenity Sounds,Rock,2001
Echoes of Eternity 53,Echo Ensemble,Pop,1999
Shadows of the Night 74,Serenity Sounds,Jazz,1995
Shadows of the Night 55,Echo Ensemble,Pop,1984
Whispers in the Wind 85,The Harmonics,Jazz,2012
Whispers in the Wind 96,Serenity Sounds,Rock,2004
Rhythms of the Heart 91,Echo Ensemble,Jazz,2020
Echoes of Eternity 89,Echo Ensemble,Pop,2014
Rhythms of the Heart 15,Serenity Sounds,Pop,2000
Whispers in the Wind 44,The Vibrations,Classical,1985
Rhythms of the Heart 8,The Harmonics,Pop,1998
Whispers in the Wind 49,The Harmonics,Pop,2004
Echoes of Eternity 74,The Vibrations,Jazz,1988
Echoes of Eternity 85,The Vibrations,Rock,2007
Rhythms of the Heart 70,Serenity Sounds,Classical,1996
Echoes of Eternity 32,Serenity Sounds,Classical,1986
Rhythms of the Heart 87,The Vibrations,Rock,2007
Rhythms of the Heart 26,Echo Ensemble,Rock,1984
Rhythms of the Heart 47,Serenity Sounds,Rock,1989
Echoes of Eternity 48,Serenity Sounds,Pop,1981
Echoes of Eternity 99,Echo Ensemble,Rock,1981
Shadows of the Night 84,Echo Ensemble,Rock,2002
Shadows of the Night 99,Echo Ensemble,Classical,1985
Echoes of Eternity 72,Echo Ensemble,Jazz,1984
Whispers in the Wind 32,The Vibrations,Pop,1981
Whispers in the Wind 42,The Harmonics,Pop,1988
Rhythms of the Heart 93,Serenity Sounds,Pop,1986
Echoes of Eternity 92,Echo Ensemble,Pop,2016
Rhythms of the Heart 100,Serenity Sounds,Rock,1992
Rhythms of the Heart 36,The Vibrations,Classical,2012
Whispers in the Wind 97,Echo Ensemble,Rock,1986
Echoes of Eternity 61,The Harmonics,Jazz,2002
Rhythms of the Heart 75,The Harmonics,Pop,2019
Shadows of the Night 69,Echo Ensemble,Jazz,2014
Echoes of Eternity 32,The Harmonics,Jazz,2019
Whispers in the Wind 45,The Harmonics,Classical,1995
Rhythms of the Heart 96,The Harmonics,Classical,2003
Echoes of Eternity 60,Echo Ensemble,Jazz,1986
Echoes of Eternity 82,Echo Ensemble,Jazz,1989
Whispers in the Wind 99,The Vibrations,Classical,1990
Whispers in the Wind 25,Serenity Sounds,Rock,2005
Shadows of the Night 54,The Harmonics,Rock,1993
Rhythms of the Heart 40,The Harmonics,Pop,1995
Whispers in the Wind 70,Echo Ensemble,Pop,1982
Whispers in the Wind 78,The Harmonics,Rock,2019
Rhythms of the Heart 90,The Harmonics,Pop,1997
Echoes of Eternity 52,The Vibrations,Rock,1994
Rhythms of the Heart 22,Serenity Sounds,Pop,1999
Whispers in the Wind 80,The Vibrations,Classical,2019
Rhythms of the Heart 18,Serenity Sounds,Pop,2003
Shadows of the Night 95,Echo Ensemble,Rock,2020
Rhythms of the Heart 64,The Harmonics,Rock,1988
Echoes of Eternity 61,Serenity Sounds,Pop,2020
Rhythms of the Heart 9,Serenity Sounds,Pop,2009
Whispers in the Wind 17,The Vibrations,Pop,2017
Rhythms of the Heart 49,Echo Ensemble,Jazz,2016
Shadows of the Night 40,The Vibrations,Classical,2000
Rhythms of the Heart 29,The Vibrations,Jazz,1984
Echoes of Eternity 41,The Vibrations,Jazz,1989
Whispers in the Wind 70,The Vibrations,Pop,2000
Whispers in the Wind 2,Echo Ensemble,Classical,2013
Whispers in the Wind 54,Serenity Sounds,Jazz,1995
Shadows of the Night 17,The Harmonics,Classical,2005
Whispers in the Wind 98,The Vibrations,Pop,2002
Whispers in the Wind 98,The Harmonics,Rock,2005
Rhythms of the Heart 42,Serenity Sounds,Rock,2012
Rhythms of the Heart 12,The Harmonics,Rock,1984
Rhythms of the Heart 23,Serenity Sounds,Pop,2015
Echoes of Eternity 27,Echo Ensemble,Classical,1998
Shadows of the Night 81,The Vibrations,Rock,1998
Shadows of the Night 33,The Vibrations,Rock,2010
Echoes of Eternity 77,The Harmonics,Classical,1985
Shadows of the Night 25,Serenity Sounds,Classical,2021
Whispers in the Wind 57,The Harmonics,Classical,1991
Rhythms of the Heart 33,Echo Ensemble,Rock,2005
Shadows of the Night 15,Serenity Sounds,Jazz,2001
Rhythms of the Heart 67,Serenity Sounds,Jazz,1982
Echoes of Eternity 95,The Vibrations,Classical,1984
Rhythms of the Heart 17,The Harmonics,Pop,2000
Echoes of Eternity 72,The Harmonics,Classical,2007
Whispers in the Wind 50,Serenity Sounds,Pop,2018
Whispers in the Wind 62,The Vibrations,Pop,1987
Echoes of Eternity 48,The Vibrations,Classical,2014
Shadows of the Night 47,The Vibrations,Rock,2010
Rhythms of the Heart 1,The Vibrations,Classical,2021
Shadows of the Night 54,Serenity Sounds,Pop,2017
Shadows of the Night 9,Serenity Sounds,Pop,2022
Rhythms of the Heart 55,Echo Ensemble,Rock,2003
Echoes of Eternity 49,Echo Ensemble,Classical,2019
Shadows of the Night 55,The Harmonics,Jazz,2008
Rhythms of the Heart 41,The Vibrations,Pop,1996
Shadows of the Night 76,Serenity Sounds,Rock,1983
Whispers in the Wind 55,The Vibrations,Rock,1997
Echoes of Eternity 17,The Vibrations,Rock,2014
Whispers in the Wind 37,The Vibrations,Classical,1992
Echoes of Eternity 10,Serenity Sounds,Rock,1986
Whispers in the Wind 3,The Harmonics,Jazz,2000
Shadows of the Night 91,Serenity Sounds,Jazz,1985
Echoes of Eternity 62,Serenity Sounds,Jazz,1992
Whispers in the Wind 12,The Harmonics,Jazz,2016
Whispers in the Wind 17,Echo Ensemble,Rock,2009
Shadows of the Night 26,The Vibrations,Classical,1984
Shadows of the Night 36,The Vibrations,Classical,2018
Echoes of Eternity 5,Echo Ensemble,Pop,1986
Shadows of the Night 97,The Vibrations,Pop,2015
Rhythms of the Heart 39,Serenity Sounds,Rock,1986
Echoes of Eternity 63,The Vibrations,Classical,1998
Echoes of Eternity 100,Serenity Sounds,Classical,2018
Echoes of Eternity 67,The Harmonics,Classical,2002
Shadows of the Night 46,The Harmonics,Classical,1998
Echoes of Eternity 89,The Vibrations,Jazz,2020
Shadows of the Night 60,Echo Ensemble,Pop,1981
Shadows of the Night 7,Serenity Sounds,Jazz,1992
Shadows of the Night 72,Echo Ensemble,Jazz,1989
Echoes of Eternity 87,The Harmonics,Classical,1981
Shadows of the Night 88,Serenity Sounds,Rock,2003
Shadows of the Night 29,The Harmonics,Jazz,2019
Whispers in the Wind 75,The Vibrations,Classical,2002
Rhythms of the Heart 14,Echo Ensemble,Jazz,2014
Whispers in the Wind 96,The Vibrations,Classical,2014
Whispers in the Wind 90,The Vibrations,Rock,2005
Rhythms of the Heart 14,Serenity Sounds,Classical,2021
Whispers in the Wind 38,Echo Ensemble,Pop,2015
Echoes of Eternity 25,Echo Ensemble,Classical,2018
Rhythms of the Heart 14,The Harmonics,Pop,1994
Echoes of Eternity 42,Echo Ensemble,Jazz,2006
Echoes of Eternity 83,The Harmonics,Jazz,1989
Rhythms of the Heart 2,Serenity Sounds,Rock,2002
Echoes of Eternity 6,The Harmonics,Classical,2001
Rhythms of the Heart 55,The Vibrations,Classical,1999
Shadows of the Night 48,The Harmonics,Rock,2014
Shadows of the Night 40,The Harmonics,Pop,2015
Shadows of the Night 82,Serenity Sounds,Jazz,1999
Shadows of the Night 90,Echo Ensemble,Classical,1997
Echoes of Eternity 40,The Harmonics,Jazz,1997
Echoes of Eternity 55,The Harmonics,Classical,1981
Rhythms of the Heart 16,Echo Ensemble,Classical,1995
Echoes of Eternity 84,Serenity Sounds,Classical,2004
Echoes of Eternity 16,The Vibrations,Pop,2013
Shadows of the Night 18,The Vibrations,Rock,2000
Rhythms of the Heart 85,Serenity Sounds,Jazz,2022
Whispers in the Wind 4,The Vibrations,Pop,1983
Rhythms of the Heart 62,The Vibrations,Rock,1983
Whispers in the Wind 64,The Vibrations,Rock,1992
Rhythms of the Heart 51,The Harmonics,Pop,1998
Shadows of the Night 40,Serenity Sounds,Pop,2013
Shadows of the Night 89,The Vibrations,Classical,1980
Whispers in the Wind 46,The Vibrations,Rock,1983
Echoes of Eternity 71,The Vibrations,Pop,2012
Rhythms of the Heart 44,Serenity Sounds,Pop,1986
Whispers in the Wind 30,The Vibrations,Classical,1991
Shadows of the Night 79,The Vibrations,Jazz,1987
Echoes of Eternity 22,Serenity Sounds,Jazz,1988
Echoes of Eternity 97,The Harmonics,Pop,1989
Echoes of Eternity 64,The Harmonics,Pop,2004
Echoes of Eternity 10,The Harmonics,Pop,2018
Shadows of the Night 91,The Vibrations,Rock,1992
Shadows of the Night 13,Serenity Sounds,Pop,1995
Shadows of the Night 4,The Harmonics,Jazz,2003
Echoes of Eternity 23,The Harmonics,Classical,1989
Echoes of Eternity 48,The Harmonics,Jazz,2012
Rhythms of the Heart 21,The Harmonics,Pop,2006
Echoes of Eternity 81,Echo Ensemble,Jazz,2010
Whispers in the Wind 40,The Harmonics,Rock,2018
Whispers in the Wind 55,Serenity Sounds,Pop,1997
Shadows of the Night 37,Serenity Sounds,Pop,1981
Shadows of the Night 36,Echo Ensemble,Jazz,1982
Echoes of Eternity 66,The Harmonics,Rock,1994
Whispers in the Wind 57,Serenity Sounds,Pop,1998
Echoes of Eternity 5,The Vibrations,Pop,1997
Echoes of Eternity 2,Serenity Sounds,Classical,2014
Shadows of the Night 96,Serenity Sounds,Jazz,2004
Echoes of Eternity 10,Echo Ensemble,Jazz,2003
Shadows of the Night 67,Echo Ensemble,Rock,1985
Echoes of Eternity 50,Serenity Sounds,Classical,2003
Echoes of Eternity 12,The Vibrations,Classical,1992
Whispers in the Wind 2,The Harmonics,Jazz,2014
Rhythms of the Heart 27,Echo Ensemble,Classical,1981
Rhythms of the Heart 28,The Harmonics,Jazz,2008
Shadows of the Night 43,Echo Ensemble,Classical,2013
Shadows of the Night 68,Echo Ensemble,Pop,1994
Rhythms of the Heart 64,Echo Ensemble,Classical,1980
Shadows of the Night 63,Echo Ensemble,Classical,2018
Shadows of the Night 84,The Harmonics,Classical,1990
Rhythms of the Heart 90,Echo Ensemble,Jazz,2016
Rhythms of the Heart 11,Echo Ensemble,Classical,2006
Echoes of Eternity 68,Echo Ensemble,Classical,1985
Whispers in the Wind 5,Serenity Sounds,Classical,1988
Rhythms of the Heart 17,Echo Ensemble,Jazz,1988
Rhythms of the Heart 64,The Vibrations,Rock,2012
Shadows of the Night 57,The Harmonics,Pop,1982
Whispers in the Wind 35,The Harmonics,Rock,1983
Echoes of Eternity 17,Serenity Sounds,Jazz,1984
Rhythms of the Heart 87,Echo Ensemble,Rock,2002
Shadows of the Night 97,Serenity Sounds,Pop,2000
Shadows of the Night 34,The Vibrations,Classical,1984
Rhythms of the Heart 59,The Vibrations,Jazz,1986
Echoes of Eternity 98,Serenity Sounds,Classical,1984
Shadows of the Night 92,The Harmonics,Pop,2005
Shadows of the Night 49,The Vibrations,Jazz,2018
Shadows of the Night 33,Serenity Sounds,Pop,2014
Rhythms of the Heart 23,The Vibrations,Classical,2012
Whispers in the Wind 25,Echo Ensemble,Pop,2016
Shadows of the Night 45,The Harmonics,Classical,2020
Echoes of Eternity 16,The Harmonics,Rock,1993
Rhythms of the Heart 50,Echo Ensemble,Classical,1991
Echoes of Eternity 61,Echo Ensemble,Pop,2002
Rhythms of the Heart 30,The Vibrations,Rock,2008
Rhythms of the Heart 13,The Vibrations,Pop,1997
Shadows of the Night 17,Echo Ensemble,Jazz,2020
Rhythms of the Heart 83,The Vibrations,Pop,2021
Rhythms of the Heart 43,Serenity Sounds,Rock,2008
Shadows of the Night 82,The Vibrations,Classical,1997
Whispers in the Wind 78,Echo Ensemble,Jazz,1990
Rhythms of the Heart 5,The Vibrations,Jazz,1993
Rhythms of the Heart 47,The Vibrations,Classical,1982
Shadows of the Night 61,Echo Ensemble,Classical,1994
Echoes of Eternity 71,The Harmonics,Jazz,2013
Whispers in the Wind 23,The Harmonics,Rock,2004
Whispers in the Wind 14,The Harmonics,Rock,1992
Whispers in the Wind 69,Serenity Sounds,Jazz,2015
Shadows of the Night 13,Echo Ensemble,Classical,2000
Whispers in the Wind 76,Echo Ensemble,Pop,2007
Echoes of Eternity 33,The Vibrations,Pop,2000
Shadows of the Night 83,The Harmonics,Rock,1995
Whispers in the Wind 90,The Harmonics,Rock,1998
Echoes of Eternity 41,Serenity Sounds,Classical,1992
Rhythms of the Heart 54,Echo Ensemble,Classical,2010
Echoes of Eternity 35,The Vibrations,Classical,2001
Rhythms of the Heart 2,Echo Ensemble,Classical,2001
Shadows of the Night 2,The Vibrations,Jazz,2005
Whispers in the Wind 84,The Harmonics,Rock,2007
Rhythms of the Heart 69,The Vibrations,Jazz,2012
Whispers in the Wind 6,The Vibrations,Classical,2007
Whispers in the Wind 65,The Harmonics,Pop,2007
Whispers in the Wind 62,Serenity Sounds,Rock,1981
Echoes of Eternity 54,Serenity Sounds,Classical,2006
Whispers in the Wind 70,The Harmonics,Jazz,2015
Whispers in the Wind 57,The Vibrations,Jazz,2011
Shadows of the Night 28,Echo Ensemble,Classical,1986
Echoes of Eternity 73,Echo Ensemble,Classical,2019
Whispers in the Wind 6,Serenity Sounds,Rock,2012
Echoes of Eternity 78,Serenity Sounds,Pop,2003
Shadows of the Night 23,Serenity Sounds,Jazz,2005
Whispers in the Wind 39,Echo Ensemble,Classical,2020
Rhythms of the Heart 38,Serenity Sounds,Jazz,1997
Echoes of Eternity 38,The Vibrations,Pop,2011
Whispers in the Wind 54,Echo Ensemble,Pop,1981
Shadows of the Night 87,Serenity Sounds,Jazz,2013
Whispers in the Wind 41,The Vibrations,Classical,2015
Whispers in the Wind 61,Serenity Sounds,Rock,2003
Rhythms of the Heart 89,The Vibrations,Classical,2018
Shadows of the Night 37,The Vibrations,Pop,1983
Rhythms of the Heart 15,Echo Ensemble,Rock,2010
Rhythms of the Heart 36,The Harmonics,Classical,1989
Whispers in the Wind 20,Echo Ensemble,Classical,2021
Rhythms of the Heart 63,The Vibrations,Jazz,2021
Shadows of the Night 73,Echo Ensemble,Classical,1983
Echoes of Eternity 52,The Harmonics,Pop,2017
Whispers in the Wind 60,The Harmonics,Rock,2019
Echoes of Eternity 23,The Vibrations,Classical,1980
Rhythms of the Heart 43,The Harmonics,Classical,2020
Echoes of Eternity 66,The Vibrations,Pop,2021
Echoes of Eternity 82,The Harmonics,Pop,2007
Whispers in the Wind 54,The Harmonics,Pop,2012
Echoes of Eternity 65,Echo Ensemble,Classical,2004
Rhythms of the Heart 43,Echo Ensemble,Jazz,1988
Echoes of Eternity 2,Echo Ensemble,Classical,2020
Whispers in the Wind 96,Echo Ensemble,Classical,2003
Echoes of Eternity 21,The Harmonics,Classical,2002
Echoes of Eternity 7,Echo Ensemble,Classical,2002
Rhythms of the Heart 85,Echo Ensemble,Rock,1987
Whispers in the Wind 3,Serenity Sounds,Classical,2015
Echoes of Eternity 31,Echo Ensemble,Jazz,2005
Whispers in the Wind 94,Serenity Sounds,Jazz,1997
Shadows of the Night 31,The Vibrations,Jazz,2009
Whispers in the Wind 21,The Vibrations,Classical,2021
Shadows of the Night 70,Serenity Sounds,Rock,1994
Echoes of Eternity 29,The Vibrations,Jazz,2012
Echoes of Eternity 98,The Vibrations,Classical,2014
Echoes of Eternity 70,Echo Ensemble,Pop,2004
Rhythms of the Heart 29,Serenity Sounds,Jazz,2014
Shadows of the Night 94,Serenity Sounds,Rock,1993
