title,artist,genre,year
Shadows of the Night 81,The Harmonics,Jazz,1991
Shadows of the Night 55,The Vibrations,Jazz,2015
Rhythms of the Heart 74,Serenity Sounds,Pop,2005
Echoes of Eternity 87,Echo Ensemble,Classical,2010
Whispers in the Wind 64,Echo Ensemble,Pop,1987
Whispers in the Wind 76,Serenity Sounds,Classical,1980
Echoes of Eternity 15,Echo Ensemble,Jazz,2004
Shadows of the Night 64,The Harmonics,Rock,2002
Rhythms of the Heart 53,Echo Ensemble,Jazz,2013
Whispers in the Wind 27,Echo Ensemble,Pop,2004
Whispers in the Wind 100,The Vibrations,Pop,1981
Whispers in the Wind 12,The Vibrations,Pop,2000
Shadows of the Night 24,Echo Ensemble,Classical,1994
Whispers in the Wind 9,Echo Ensemble,Rock,2009
Whispers in the Wind 18,Serenity Sounds,Pop,1989
Rhythms of the Heart 38,The Vibrations,Classical,2007
Echoes of Eternity 14,Echo Ensemble,Pop,1981
Whispers in the Wind 98,Serenity Sounds,Pop,2008
Echoes of Eternity 91,Serenity Sounds,Classical,1984
Rhythms of the Heart 78,Serenity Sounds,Rock,1998
Whispers in the Wind 7,Serenity Sounds,Rock,1981
Rhythms of the Heart 98,Serenity Sounds,Pop,1998
Whispers in the Wind 10,The Harmonics,Pop,2000
Whispers in the Wind 100,Serenity Sounds,Classical,2012
Whispers in the Wind 66,Serenity Sounds,Rock,2007
Whispers in the Wind 29,The Harmonics,Pop,2021
Rhythms of the Heart 81,The Vibrations,Rock,1994
Echoes of Eternity 44,The Harmonics,Classical,2014
Shadows of the Night 98,The Vibrations,Classical,2018
Whispers in the Wind 56,Echo Ensemble,Pop,1986
Rhythms of the Heart 42,The Harmonics,Pop,2008
Shadows of the Night 75,The Vibrations,Classical,2019
Rhythms of the Heart 41,The Harmonics,Jazz,2004
Echoes of Eternity 2,The Vibrations,Jazz,1996
Echoes of Eternity 85,Serenity Sounds,Jazz,1992
Shadows of the Night 33,Echo Ensemble,Jazz,2004
Shadows of the Night 50,Echo Ensemble,Classical,1989
Whispers in the Wind 65,The Vibrations,Pop,2017
Echoes of Eternity 34,Serenity Sounds,Classical,2000
Shadows of the Night 86,Echo Ensemble,Jazz,2011
Shadows of the Night 69,The Harmonics,Classical,2009
Whispers in the Wind 79,Serenity Sounds,Rock,2015
Shadows of the Night 25,The Vibrations,Classical,1982
Shadows of the Night 24,The Harmonics,Pop,2006
Echoes of Eternity 40,Serenity Sounds,Jazz,1985
Echoes of Eternity 44,Echo Ensemble,Classical,1993
Rhythms of the Heart 78,Echo Ensemble,Pop,1995
Shadows of the Night 41,Serenity Sounds,Rock,2018
Rhythms of the Heart 35,Serenity Sounds,Classical,1980
Shadows of the Night 5,The Harmonics,Pop,2007
Whispers in the Wind 1,The Harmonics,Rock,1992
Shadows of the Night 74,Echo Ensemble,Classical,2018
Rhythms of the Heart 40,Echo Ensemble,Rock,1996
Shadows of the Night 4,The Vibrations,Classical,1994
Echoes of Eternity 47,Serenity Sounds,Rock,2002
Shadows of the Night 75,Serenity Sounds,Jazz,2017
Whispers in the Wind 32,Echo Ensemble,Classical,1998
Echoes of Eternity 58,Echo Ensemble,Jazz,1983
Echoes of Eternity 90,Echo Ensemble,Rock,2018
Rhythms of the Heart 94,The Harmonics,Classical,2000
Shadows of the Night 3,Echo Ensemble,Rock,2009
Echoes of Eternity 43,Echo Ensemble,Classical,2007
Shadows of the Night 11,The Vibrations,Jazz,2010
Rhythms of the Heart 59,Serenity Sounds,Pop,2018
Whispers in the Wind 19,The Vibrations,Pop,2017
Whispers in the Wind 74,The Vibrations,Classical,2013
Shadows of the Night 48,Echo Ensemble,Pop,1988
Echoes of Eternity 74,Serenity Sounds,Pop,1990
Echoes of Eternity 42,The Harmonics,Classical,2002
Shadows of the Night 51,Echo Ensemble,Jazz,2003
Rhythms of the Heart 14,The Vibrations,Jazz,2008
Rhythms of the Heart 78,The Vibrations,Pop,1990
Echoes of Eternity 95,The Harmonics,Classical,1984
Whispers in the Wind 36,The Vibrations,Pop,2012
Shadows of the Night 69,The Vibrations,Classical,1990
Shadows of the Night 86,Serenity Sounds,Rock,1987
Rhythms of the Heart 72,Echo Ensemble,Pop,2017
Rhythms of the Heart 65,Serenity Sounds,Pop,1981
Whispers in the Wind 54,The Vibrations,Jazz,1995
Echoes of Eternity 20,Serenity Sounds,Classical,2014
Echoes of Eternity 8,Serenity Sounds,Rock,2005
Whispers in the Wind 72,The Vibrations,Pop,2001
Whispers in the Wind 9,The Vibrations,Classical,1994
Rhythms of the Heart 47,Echo Ensemble,Pop,1995
Whispers in the Wind 91,The Harmonics,Rock,2015
Whispers in the Wind 82,Serenity Sounds,Pop,1999
Rhythms of the Heart 49,The Harmonics,Jazz,2009
Whispers in the Wind 52,Serenity Sounds,Jazz,1998
Shadows of the Night 62,The Harmonics,Rock,1993
Echoes of Eternity 65,The Vibrations,Classical,2021
Whispers in the Wind 3,Echo Ensemble,Pop,2022
Rhythms of the Heart 89,Echo Ensemble,Pop,2020
Whispers in the Wind 55,Echo Ensemble,Rock,2007
Shadows of the Night 53,Echo Ensemble,Rock,1987
Shadows of the Night 58,Serenity Sounds,Jazz,2017
Rhythms of the Heart 56,The Harmonics,Classical,2002
Rhythms of the Heart 80,Echo Ensemble,Rock,1996
Echoes of Eternity 4,The Vibrations,Rock,1995
Shadows of the Night 49,Serenity Sounds,Rock,2004
Whispers in the Wind 8,Serenity Sounds,Pop,1990
Whispers in the Wind 14,The Vibrations,Pop,1992
Rhythms of the Heart 44,Echo Ensemble,Jazz,2005
Shadows of the Night 8,The Vibrations,Pop,1999
Rhythms of the Heart 59,Echo Ensemble,Pop,2018
Echoes of Eternity 41,The Harmonics,Jazz,2007
Echoes of Eternity 31,The Harmonics,Pop,1991
Whispers in the Wind 10,The Vibrations,Rock,1990
Echoes of Eternity 99,The Harmonics,Classical,2000
Rhythms of the Heart 67,The Harmonics,Classical,2015
Whispers in the Wind 8,Echo Ensemble,Classical,2015
Echoes of Eternity 15,The Harmonics,Classical,2004
Shadows of the Night 57,Serenity Sounds,Rock,1993
Echoes of Eternity 78,The Vibrations,Classical,2022
Shadows of the Night 49,Echo Ensemble,Rock,2015
Shadows of the Night 21,Echo Ensemble,Jazz,2003
Rhythms of the Heart 3,The Vibrations,Jazz,1983
Rhythms of the Heart 58,Serenity Sounds,Classical,1989
Shadows of the Night 31,The Harmonics,Jazz,1980
Whispers in the Wind 5,The Harmonics,Pop,2015
Rhythms of the Heart 21,The Vibrations,Classical,2013
Rhythms of the Heart 33,The Harmonics,Jazz,1999
Rhythms of the Heart 98,Echo Ensemble,Classical,1997
Rhythms of the Heart 52,Serenity Sounds,Pop,2020
Whispers in the Wind 61,The Vibrations,Pop,2011
Echoes of Eternity 53,Serenity Sounds,Jazz,2011
Whispers in the Wind 48,The Vibrations,Rock,1987
Echoes of Eternity 79,The Vibrations,Rock,2022
Whispers in the Wind 73,The Harmonics,Rock,2012
Rhythms of the Heart 6,Echo Ensemble,Pop,2011
Rhythms of the Heart 30,Serenity Sounds,Rock,2006
Echoes of Eternity 35,Echo Ensemble,Classical,1985
Rhythms of the Heart 1,The Harmonics,Rock,2019
Shadows of the Night 79,Echo Ensemble,Classical,2000
Echoes of Eternity 93,Serenity Sounds,Rock,1991
Whispers in the Wind 88,Echo Ensemble,Pop,1998
Rhythms of the Heart 37,Echo Ensemble,Classical,2009
Rhythms of the Heart 96,Serenity Sounds,Jazz,2021
Shadows of the Night 61,The Vibrations,Classical,2004
Whispers in the Wind 7,The Harmonics,Pop,2012
Shadows of the Night 19,The Harmonics,Pop,2016
Whispers in the Wind 80,The Harmonics,Pop,2000
Whispers in the Wind 2,The Vibrations,Rock,2021
Shadows of the Night 98,Echo Ensemble,Classical,1986
Echoes of Eternity 92,The Harmonics,Classical,2016
Shadows of the Night 65,Serenity Sounds,Pop,2018
Echoes of Eternity 15,The Vibrations,Classical,2013
Whispers in the Wind 30,Echo Ensemble,Rock,1986
Echoes of Eternity 44,Serenity Sounds,Pop,1995
Shadows of the Night 14,Serenity Sounds,Pop,1985
Shadows of the Night 44,The Harmonics,Classical,2017
Rhythms of the Heart 17,Serenity Sounds,Jazz,1992
Echoes of Eternity 42,Serenity Sounds,Rock,1995
Whispers in the Wind 37,Echo Ensemble,Classical,2005
Rhythms of the Heart 24,The Vibrations,Rock,1996
Whispers in the Wind 22,Serenity Sounds,Classical,2016
Echoes of Eternity 63,Echo Ensemble,Rock,1991
Rhythms of the Heart 41,Serenity Sounds,Rock,1995
Shadows of the Night 14,The Vibrations,Pop,2003
Whispers in the Wind 87,The Vibrations,Rock,2006
Rhythms of the Heart 2,The Vibrations,Jazz,1985
Rhythms of the Heart 48,Serenity Sounds,Jazz,2019
Rhythms of the Heart 67,The Vibrations,Pop,2010
Whispers in the Wind 15,Serenity Sounds,Pop,1991
Shadows of the Night 17,Serenity Sounds,Rock,1986
Shadows of the Night 90,The Vibrations,Pop,2003
Whispers in the Wind 90,Echo Ensemble,Classical,1982
Whispers in the Wind 87,The Harmonics,Jazz,1985
Whispers in the Wind 99,Serenity Sounds,Classical,1995
Echoes of Eternity 93,Echo Ensemble,Pop,2013
Echoes of Eternity 19,Serenity Sounds,Classical,1980
Shadows of the Night 59,The Vibrations,Rock,1999
Rhythms of the Heart 72,Serenity Sounds,Jazz,2021
Whispers in the Wind 91,Echo Ensemble,Jazz,2017
Whispers in the Wind 53,The Vibrations,Pop,1990
Echoes of Eternity 11,Echo Ensemble,Classical,1992
Rhythms of the Heart 79,The Vibrations,Classical,1982
Rhythms of the Heart 100,The Vibrations,Jazz,1992
Shadows of the Night 9,The Vibrations,Rock,1986
Rhythms of the Heart 58,The Vibrations,Pop,1985
Shadows of the Night 77,Echo Ensemble,Pop,2004
Echoes of Eternity 6,Serenity Sounds,Pop,1994
Whispers in the Wind 24,Echo Ensemble,Rock,1983
Shadows of the Night 44,Serenity Sounds,Rock,2022
Whispers in the Wind 45,The Vibrations,Pop,1986
Rhythms of the Heart 19,The Harmonics,Pop,2022
Rhythms of the Heart 61,The Vibrations,Jazz,2008
Rhythms of the Heart 60,Serenity Sounds,Classical,1998
Rhythms of the Heart 9,The Harmonics,Pop,1989
Shadows of the Night 70,Echo Ensemble,Classical,1988
Rhythms of the Heart 50,The Harmonics,Classical,2007
Whispers in the Wind 75,The Harmonics,Rock,2020
Rhythms of the Heart 38,Echo Ensemble,Pop,1987
Whispers in the Wind 100,Echo Ensemble,Pop,1980
Rhythms of the Heart 7,Echo Ensemble,Pop,2015
Rhythms of the Heart 60,Echo Ensemble,Classical,2002
Echoes of Eternity 43,The Vibrations,Classical,1982
Shadows of the Night 71,Serenity Sounds,Classical,1980
Echoes of Eternity 30,Echo Ensemble,Pop,2000
Echoes of Eternity 64,Echo Ensemble,Classical,1992
Rhythms of the Heart 18,The Harmonics,Pop,2021
Rhythms of the Heart 32,Serenity Sounds,Pop,2000
Echoes of Eternity 90,The Vibrations,Rock,1986
Whispers in the Wind 26,The Vibrations,Pop,2010
Shadows of the Night 53,The Vibrations,Jazz,1980
Shadows of the Night 27,The Harmonics,Classical,1989
Echoes of Eternity 35,Serenity Sounds,Jazz,1997
Rhythms of the Heart 25,Echo Ensemble,Classical,2009
Rhythms of the Heart 81,Echo Ensemble,Pop,2020
Shadows of the Night 80,The Harmonics,Jazz,1995
Whispers in the Wind 19,The Harmonics,Classical,1982
Whispers in the Wind 61,Echo Ensemble,Pop,2007
Echoes of Eternity 24,The Vibrations,Rock,2012
Shadows of the Night 3,The Harmonics,Rock,1984
Whispers in the Wind 66,Echo Ensemble,Jazz,1989
Whispers in the Wind 81,Echo Ensemble,Classical,2009
Rhythms of the Heart 95,The Harmonics,Rock,1998
Rhythms of the Heart 99,Echo Ensemble,Rock,1995
Echoes of Eternity 20,The Harmonics,Classical,1981
Whispers in the Wind 88,The Vibrations,Classical,1995
Rhythms of the Heart 27,The Vibrations,Classical,1984
Echoes of Eternity 77,Echo Ensemble,Pop,2010
Whispers in the Wind 92,Echo Ensemble,Rock,2012
Rhythms of the Heart 18,Echo Ensemble,Pop,2011
Shadows of the Night 30,The Vibrations,Classical,2008
Rhythms of the Heart 19,Echo Ensemble,Rock,2019
Echoes of Eternity 90,The Harmonics,Rock,1985
Shadows of the Night 51,The Harmonics,Pop,2005
Echoes of Eternity 96,Serenity Sounds,Pop,2003
Echoes of Eternity 52,Serenity Sounds,Pop,2012
Echoes of Eternity 12,The Harmonics,Pop,2013
Whispers in the Wind 34,Serenity Sounds,Jazz,2003
Shadows of the Night 18,The Harmonics,Jazz,2005
Whispers in the Wind 97,The Vibrations,Jazz,2001
Echoes of Eternity 8,Echo Ensemble,Rock,1980
Rhythms of the Heart 89,The Harmonics,Rock,2007
Whispers in the Wind 71,The Vibrations,Jazz,2019
Whispers in the Wind 44,The Harmonics,Pop,1991
Echoes of Eternity 93,The Harmonics,Jazz,1991
Rhythms of the Heart 57,The Vibrations,Rock,1996
Shadows of the Night 58,Echo Ensemble,Rock,1994
Shadows of the Night 35,Echo Ensemble,Classical,1991
Shadows of the Night 16,Echo Ensemble,Classical,2004
Whispers in the Wind 51,Echo Ensemble,Classical,1994
Whispers in the Wind 15,Echo Ensemble,Rock,1989
Whispers in the Wind 45,Serenity Sounds,Rock,2003
Whispers in the Wind 79,The Harmonics,Jazz,2019
Whispers in the Wind 84,The Vibrations,Jazz,1987
Shadows of the Night 52,The Vibrations,Rock,2022
Shadows of the Night 98,The Harmonics,Rock,1980
Echoes of Eternity 22,The Harmonics,Jazz,1997
Shadows of the Night 17,The Vibrations,Classical,1992
Rhythms of the Heart 40,Serenity Sounds,Rock,2011
Shadows of the Night 34,Serenity Sounds,Rock,2003
Echoes of Eternity 99,Serenity Sounds,Pop,2011
Shadows of the Night 63,The Harmonics,Jazz,1980
Shadows of the Night 12,The Harmonics,Jazz,2003
Shadows of the Night 38,Serenity Sounds,Jazz,2001
Echoes of Eternity 57,The Vibrations,Rock,2003
Shadows of the Night 31,Echo Ensemble,Pop,1981
Shadows of the Night 24,Serenity Sounds,Classical,1983
Echoes of Eternity 22,The Vibrations,Jazz,1983
Whispers in the Wind 97,The Harmonics,Pop,2013
Whispers in the Wind 40,The Vibrations,Classical,1991
Echoes of Eternity 65,Serenity Sounds,Classical,1989
Echoes of Eternity 62,Echo Ensemble,Jazz,2013
Rhythms of the Heart 65,The Harmonics,Pop,1998
Whispers in the Wind 70,Serenity Sounds,Pop,2013
Whispers in the Wind 20,Serenity Sounds,Pop,2000
Rhythms of the Heart 80,The Harmonics,Rock,2011
Echoes of Eternity 87,Serenity Sounds,Pop,1997
Rhythms of the Heart 43,The Vibrations,Jazz,2010
Echoes of Eternity 92,The Vibrations,Jazz,1991
Rhythms of the Heart 29,The Harmonics,Classical,1998
Whispers in the Wind 37,Serenity Sounds,Jazz,2018
Shadows of the Night 11,Echo Ensemble,Pop,2006
Shadows of the Night 53,The Harmonics,Jazz,2017
Whispers in the Wind 44,Echo Ensemble,Pop,1987
Rhythms of the Heart 95,Echo Ensemble,Rock,2019
Shadows of the Night 91,Echo Ensemble,Jazz,1986
Echoes of Eternity 86,Serenity Sounds,Jazz,2003
Shadows of the Night 70,The Vibrations,Classical,1995
Rhythms of the Heart 12,The Vibrations,Classical,1996
Shadows of the Night 14,Echo Ensemble,Pop,2017
Echoes of Eternity 3,Serenity Sounds,Rock,2010
Shadows of the Night 6,The Vibrations,Jazz,1998
Echoes of Eternity 68,Serenity Sounds,Rock,2011
Shadows of the Night 60,The Harmonics,Pop,2016
Echoes of Eternity 76,The Vibrations,Pop,2000
Echoes of Eternity 79,The Harmonics,Classical,1985
Echoes of Eternity 27,The Harmonics,Rock,2011
Echoes of Eternity 39,Echo Ensemble,Classical,1994
Echoes of Eternity 73,The Vibrations,Pop,2013
Whispers in the Wind 51,The Harmonics,Pop,2002
Echoes of Eternity 33,Serenity Sounds,Rock,1987
Rhythms of the Heart 58,Echo Ensemble,Pop,1981
Shadows of the Night 85,The Vibrations,Pop,2014
Whispers in the Wind 42,Echo Ensemble,Jazz,2010
Shadows of the Night 89,Serenity Sounds,Rock,2003
Rhythms of the Heart 69,Echo Ensemble,Classical,2013
Shadows of the Night 1,The Vibrations,Classical,1983
Echoes of Eternity 57,The Harmonics,Rock,1981
Whispers in the Wind 86,Serenity Sounds,Classical,2006
Echoes of Eternity 26,The Harmonics,Classical,1986
Whispers in the Wind 40,Echo Ensemble,Classical,1998
Rhythms of the Heart 86,The Harmonics,Jazz,1983
Whispers in the Wind 74,Serenity Sounds,Rock,1986
Shadows of the Night 10,The Harmonics,Classical,1998
Echoes of Eternity 75,Serenity Sounds,Pop,2022
Echoes of Eternity 83,The Vibrations,Classical,1999
Echoes of Eternity 28,Serenity Sounds,Classical,2014
Whispers in the Wind 59,The Vibrations,Classical,2010
Rhythms of the Heart 95,Serenity Sounds,Pop,1981
Rhythms of the Heart 34,Serenity Sounds,Jazz,2013
Shadows of the Night 3,Serenity Sounds,Jazz,2021
Shadows of the Night 19,Serenity Sounds,Rock,2021
Echoes of Eternity 9,Serenity Sounds,Pop,2007
Shadows of the Night 86,The Harmonics,Classical,2019
Echoes of Eternity 4,Echo Ensemble,Classical,2003
Echoes of Eternity 58,The Vibrations,Pop,2016
Echoes of Eternity 32,Echo Ensemble,Classical,1981
Rhythms of the Heart 89,Serenity Sounds,Jazz,1980
Whispers in the Wind 94,The Harmonics,Classical,2016
Echoes of Eternity 90,Serenity Sounds,Classical,2000
Echoes of Eternity 86,The Vibrations,Rock,1987
Shadows of the Night 43,The Harmonics,Pop,2001
Whispers in the Wind 24,The Vibrations,Jazz,2011
Shadows of the Night 2,The Harmonics,Rock,2011
Echoes of Eternity 49,The Harmonics,Jazz,1990
Shadows of the Night 28,The Harmonics,Jazz,1984
Echoes of Eternity 66,Echo Ensemble,Rock,2017
Echoes of Eternity 55,Serenity Sounds,Jazz,2012
Shadows of the Night 50,Serenity Sounds,Rock,2019
Whispers in the Wind 80,Echo Ensemble,Classical,2022
Shadows of the Night 64,Echo Ensemble,Classical,1995
Echoes of Eternity 69,Echo Ensemble,Jazz,2009
Shadows of the Night 80,Serenity Sounds,Rock,2009
Rhythms of the Heart 32,The Harmonics,Classical,2019
Echoes of Eternity 1,Echo Ensemble,Rock,2006
Shadows of the Night 51,The Vibrations,Jazz,2018
Echoes of Eternity 25,Serenity Sounds,Classical,2012
Shadows of the Night 23,Echo Ensemble,Rock,1998
Rhythms of the Heart 52,The Vibrations,Jazz,2001
Echoes of Eternity 91,The Vibrations,Jazz,1990
Echoes of Eternity 37,Echo Ensemble,Pop,1985
Echoes of Eternity 59,The Harmonics,Jazz,1997
Whispers in the Wind 36,Serenity Sounds,Classical,2004
Echoes of Eternity 22,Echo Ensemble,Classical,1986
Whispers in the Wind 40,Serenity Sounds,Pop,2021
Whispers in the Wind 72,Echo Ensemble,Pop,2013
Shadows of the Night 100,The Vibrations,Pop,2013
Whispers in the Wind 91,Serenity Sounds,Pop,1991
Echoes of Eternity 84,Echo Ensemble,Pop,1985
Whispers in the Wind 58,The Vibrations,Rock,2007
Whispers in the Wind 36,The Harmonics,Jazz,2009
Echoes of Eternity 98,The Harmonics,Pop,2010
Echoes of Eternity 14,Serenity Sounds,Jazz,2018
Rhythms of the Heart 61,The Harmonics,Classical,1997
Whispers in the Wind 85,Serenity Sounds,Jazz,2017
Echoes of Eternity 81,Serenity Sounds,Pop,2005
Shadows of the Night 94,The Vibrations,Rock,2003
Rhythms of the Heart 25,The Harmonics,Rock,2003
Whispers in the Wind 27,The Harmonics,Classical,2016
Whispers in the Wind 73,The Vibrations,Jazz,2011
Rhythms of the Heart 28,Echo Ensemble,Pop,2011
Whispers in the Wind 22,The Vibrations,Jazz,2014
Whispers in the Wind 12,Echo Ensemble,Jazz,2007
Whispers in the Wind 76,The Harmonics,Classical,2012
Rhythms of the Heart 97,The Vibrations,Jazz,2003
Echoes of Eternity 74,Echo Ensemble,Classical,2011
Whispers in the Wind 68,Serenity Sounds,Pop,1983
Whispers in the Wind 83,Echo Ensemble,Rock,1986
Whispers in the Wind 75,Echo Ensemble,Classical,2018
Rhythms of the Heart 97,Serenity Sounds,Rock,2022
Shadows of the Night 14,The Harmonics,Pop,1983
Shadows of the Night 62,Serenity Sounds,Rock,2004
Rhythms of the Heart 75,The Vibrations,Rock,2002
Whispers in the Wind 27,Serenity Sounds,Jazz,2012
Rhythms of the Heart 18,The Vibrations,Classical,1981
Whispers in the Wind 83,Serenity Sounds,Pop,2006
Echoes of Eternity 58,The Harmonics,Rock,1984
Rhythms of the Heart 2,The Harmonics,Classical,2020
Shadows of the Night 91,The Harmonics,Pop,1988
Shadows of the Night 60,Serenity Sounds,Jazz,2018
